Timestamp,Year of study,Faculty ,Your GPA Range  ,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events? ,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences? 
20/07/2025 23:10:00,2nd Year,Agriculture,3.1 – 3.5,Ambivert (I like both alone time and being with people),No preference,"Yes, I’m open to trying new events","Technology, Psychology","YouTube, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF",3,5,5,4,3,5,3,4,5,4,4,Hybrid,Monthly,Yes,Academic,4,Good,
20/07/2025 23:10:59,1st Year,Management Studies,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Technology, Business & Management","LinkedIn Learning, University LMS","Based on interest, Required for exams","Interactive Quizzes, Notes/PDF, Live Sessions",4,4,4,5,4,5,5,5,5,3,5,Hybrid,Monthly,No,,,,No
20/07/2025 23:11:07,4th Year,Technology,3.1 – 3.5,Extrovert (I enjoy being with others),Individual sessions,"Yes, I’m open to trying new events","Technology, Science, Psychology","YouTube, Coursera, University LMS","Based on interest, Required for exams","Video Lectures, Discussion Forums, Live Sessions",4,3,3,5,3,5,5,4,5,3,4,Hybrid,Monthly,Yes,Academic,5,,
20/07/2025 23:11:46,3rd Year,Medical & Allied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events","Technology, Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, University LMS","Based on interest, Recommended by peers","Video Lectures, Notes/PDF, Discussion Forums, Live Sessions",2,2,1,1,1,5,5,3,3,2,2,Hybrid,Occasionally,Yes,Academic,4,"The talks were easy to understand.

",-
20/07/2025 23:13:26,2nd Year,Agriculture,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, University LMS",Based on interest,"Notes/PDF, Discussion Forums, Live Sessions",4,2,5,3,4,4,3,3,3,3,4,Online,Occasionally,No,,,,
24/07/2025 14:42:19,2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event",Technology,"YouTube, Coursera, LinkedIn Learning, University LMS","Based on interest, Required for exams","Video Lectures, Interactive Quizzes, Notes/PDF, Discussion Forums, Live Sessions",3,2,4,5,3,5,5,5,5,4,5,Hybrid,Occasionally,Yes,"Social, Academic ",5,Good,
26/07/2025 09:33:32,3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning, University LMS","Based on interest, Random browsing, Suggested by platform","Video Lectures, Notes/PDF",3,1,3,1,2,4,4,1,1,1,1,Hybrid,Occasionally,Yes,"Academic ,sports",4,,
26/07/2025 09:36:00,3rd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Yes, I’m open to trying new events","Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Recommended by peers, Random browsing","Video Lectures, Notes/PDF",4,1,3,1,1,5,2,1,1,2,2,Hybrid,Occasionally,Yes,Academic sports,4,,
26/07/2025 10:30:52,3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF",2,2,3,1,1,4,4,1,2,2,2,Physical,Rarely,No,,,,
26/07/2025 10:34:15,4th Year,Technology,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, University LMS","Based on interest, Recommended by peers, Suggested by platform","Video Lectures, Notes/PDF",1,1,2,1,2,5,4,2,2,1,1,Hybrid,Occasionally,No,,,,
26/07/2025 10:39:53,3rd Year,Agriculture,3.1 – 3.5,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events","Technology, Science, Soft Skills (Communication, Leadership)","YouTube, Coursera, KhanAcademy, University LMS","Based on interest, Recommended by peers, Random browsing","Video Lectures, Notes/PDF",4,2,3,2,2,5,5,3,2,2,2,Hybrid,Occasionally,Yes,"cultural,Academic",4,,
26/07/2025 10:41:36,2nd Year,Medical & Allied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events","Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, Coursera, University LMS","Based on interest, Recommended by peers, Random browsing","Video Lectures, Notes/PDF, Discussion Forums",3,1,1,2,1,5,5,2,2,2,2,Hybrid,Occasionally,Yes,Academic,5,,
26/07/2025 10:44:00,2nd Year,Medical & Allied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, University LMS","Based on interest, Required for exams, Random browsing","Video Lectures, Interactive Quizzes, Notes/PDF",2,1,1,2,1,5,5,2,2,2,2,Hybrid,Rarely,Yes,Academic cultural,5,,
30/07/2025 19:35:45,3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",2,1,2,2,1,5,3,2,2,3,2,Hybrid,Occasionally,Yes,academic,4,,
30/07/2025 19:37:06,3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events","Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",3,2,2,1,1,4,3,2,2,1,1,Hybrid,Occasionally,Yes,sports,4,,
30/07/2025 19:38:11,2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Science, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",4,1,2,2,1,4,4,2,2,2,2,Hybrid,Occasionally,No,,,,
30/07/2025 19:40:08,3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event","Technology, Science, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,Video Lectures,2,1,1,2,1,4,3,2,2,2,3,Hybrid,Occasionally,Yes,careeer-related,4,,
30/07/2025 19:41:38,1st Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events","Science, Psychology, Soft Skills (Communication, Leadership)","Coursera, University LMS","Based on interest, Recommended by peers, Random browsing","Video Lectures, Notes/PDF",2,2,3,2,1,4,4,2,2,3,2,Hybrid,Monthly,Yes,Culture,5,,
30/07/2025 19:43:01,2nd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events","Technology, Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning, University LMS",Based on interest,"Video Lectures, Discussion Forums",2,2,1,2,1,4,4,3,2,2,2,Hybrid,Monthly,Yes,Sports,3,,
30/07/2025 21:04:11,2nd Year,Management Studies,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Yes, I’m open to trying new events","Business & Management, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Discussion Forums",2,2,3,2,1,4,4,2,1,1,2,Physical,Monthly,Yes,Social,3,,
30/07/2025 21:05:43,3rd Year,Medical & Allied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Yes, I’m open to trying new events","Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, Coursera, KhanAcademy, LinkedIn Learning, University LMS","Based on interest, Recommended by peers, Required for exams, Random browsing","Video Lectures, Notes/PDF, Discussion Forums, Live Sessions",2,2,3,2,1,5,3,2,2,1,1,Hybrid,Occasionally,Yes,Academic,3,,
30/07/2025 21:07:08,3rd Year,Medical & Allied Sciences,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"Yes, I’m open to trying new events","Technology, Science, Psychology, Soft Skills (Communication, Leadership)","Coursera, University LMS","Recommended by peers, Random browsing","Video Lectures, Interactive Quizzes, Notes/PDF",3,2,2,2,1,5,4,3,2,2,2,Hybrid,Occasionally,Yes,"Academic,Social",5,,
30/07/2025 21:08:47,4th Year,Agriculture,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Business & Management, Competitive Exams / Certifications","YouTube, Coursera, University LMS","Based on interest, Recommended by peers, Random browsing","Video Lectures, Interactive Quizzes, Notes/PDF",3,2,3,3,1,5,5,2,2,3,2,Hybrid,Occasionally,Yes,"Academic, Career-related",4,,
30/07/2025 21:32:33,1st Year,Management Studies,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Technology, Business & Management, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",2,2,3,2,2,5,4,3,3,3,2,Physical,Occasionally,Yes,Sport,4,,
30/07/2025 21:35:15,3rd Year,Social Sciences & Humanities,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Technology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF",2,1,2,2,2,4,4,2,2,2,2,Physical,Occasionally,No,,,,
30/07/2025 21:37:10,1st Year,Medical & Allied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Science, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Suggested by platform","Interactive Quizzes, Discussion Forums",3,3,3,4,4,5,5,5,3,4,5,Physical,Rarely,Yes,,,,
30/07/2025 21:37:55,2nd Year,Social Sciences & Humanities,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera, LinkedIn Learning, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF",3,2,2,3,2,5,5,3,3,2,2,Hybrid,Occasionally,Yes,Social,3,,
30/07/2025 21:39:31,3rd Year,Agriculture,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Soft Skills (Communication, Leadership)","YouTube, University LMS",Required for exams,"Video Lectures, Notes/PDF",3,3,5,4,5,5,3,5,3,4,5,Hybrid,Monthly,Yes,,,,
30/07/2025 21:39:56,4th Year,Agriculture,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera, University LMS","Based on interest, Recommended by peers, Random browsing","Video Lectures, Notes/PDF, Live Sessions",4,2,4,3,3,5,5,4,3,3,3,Hybrid,Occasionally,Yes,"Cultutal,Academic,Social",5,,
30/07/2025 21:41:19,3rd Year,Agriculture,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Technology, Soft Skills (Communication, Leadership)",University LMS,Random browsing,"Video Lectures, Notes/PDF",4,3,3,2,1,5,5,3,3,3,3,Hybrid,Monthly,Yes,Sports,3,,
30/07/2025 21:42:43,3rd Year,Social Sciences & Humanities,3.1 – 3.5,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event","Technology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","Coursera, University LMS","Recommended by peers, Random browsing","Video Lectures, Notes/PDF",5,3,4,4,3,5,5,4,4,3,3,Hybrid,Weekly,Yes,"Cultural,academic",5,,
30/07/2025 21:44:29,2nd Year,Technology,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Yes, I’m open to trying new events","Technology, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Recommended by peers, Suggested by platform","Video Lectures, Interactive Quizzes, Discussion Forums",2,2,3,2,1,5,3,3,2,3,2,Hybrid,Weekly,Yes,Career-related,5,,
31/07/2025 19:59:48,1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Science, Soft Skills (Communication, Leadership)","Coursera, LinkedIn Learning, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF",4,3,5,4,3,5,5,4,3,3,2,Physical,Occasionally,Yes,Academic,3,,
31/07/2025 20:00:54,1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Live Sessions",3,2,2,2,1,4,4,3,3,2,2,Online,Occasionally,No,,,,
31/07/2025 20:02:01,1st Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Technology, Science",YouTube,Based on interest,Video Lectures,2,3,4,3,1,4,3,3,4,4,3,Hybrid,Monthly,No,,,,
31/07/2025 20:03:36,1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"No, I prefer familiar events",Psychology,University LMS,Suggested by platform,Notes/PDF,2,3,4,3,2,4,4,3,3,2,2,Hybrid,Monthly,Yes,Social,4,,
31/07/2025 20:05:06,1st Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Psychology, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning, University LMS","Based on interest, Random browsing",Video Lectures,5,4,5,3,4,5,5,4,4,3,3,Hybrid,Occasionally,Yes,Sports,5,,
31/07/2025 20:06:51,2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"No, I prefer familiar events",Science,YouTube,"Random browsing, Suggested by platform","Notes/PDF, Discussion Forums",2,3,4,2,2,5,5,4,4,2,3,Physical,Monthly,Yes,Cultural,4,,
31/07/2025 20:08:34,2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, University LMS","Recommended by peers, Random browsing","Video Lectures, Notes/PDF",4,4,5,3,4,5,4,4,3,4,2,Hybrid,Occasionally,Yes,Career-related,5,,
31/07/2025 20:10:32,2nd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)",YouTube,Random browsing,"Video Lectures, Notes/PDF, Discussion Forums",4,3,5,3,3,5,4,3,3,4,3,Hybrid,Monthly,No,,,,
31/07/2025 20:11:38,2nd Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Individual sessions,"No, I prefer familiar events","Science, Soft Skills (Communication, Leadership)",YouTube,Random browsing,Video Lectures,2,2,3,3,2,4,4,3,3,2,2,Hybrid,Occasionally,No,,,,
31/07/2025 20:14:24,3rd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Individual sessions,"Yes, I’m open to trying new events","Technology, Science, Psychology","YouTube, Coursera",Based on interest,"Video Lectures, Notes/PDF",3,3,3,4,3,5,5,4,4,4,5,Hybrid,Monthly,Yes,Academic,4,,
31/07/2025 20:16:26,4th Year,Applied Sciences,3.1 – 3.5,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Technology, Science, Competitive Exams / Certifications","YouTube, KhanAcademy, University LMS","Based on interest, Recommended by peers","Video Lectures, Notes/PDF, Discussion Forums, Live Sessions",4,3,5,5,5,5,4,4,4,4,5,Hybrid,Monthly,Yes,Career ,4,,
31/07/2025 20:19:14,3rd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Psychology",YouTube,Based on interest,"Video Lectures, Notes/PDF",5,3,5,3,4,4,5,3,4,5,4,Hybrid,Monthly,Yes,Cultural,4,,
31/07/2025 20:21:29,2nd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy","Based on interest, Random browsing","Notes/PDF, Live Sessions",5,5,3,4,5,4,5,5,4,5,5,Hybrid,Weekly,Yes,Cultural,,,
31/07/2025 20:23:37,1st Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Technology, Science",YouTube,Based on interest,"Video Lectures, Live Sessions",4,4,3,4,4,5,5,5,4,5,5,Physical,Monthly,Yes,Social,5,,
01/08/2025 20:26:08,3rd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Soft Skills (Communication, Leadership)","YouTube, University LMS","Random browsing, Suggested by platform","Video Lectures, Notes/PDF",3,3,4,2,2,5,5,2,2,2,2,Hybrid,Occasionally,No,,,,
01/08/2025 20:27:37,3rd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Group activities,"Maybe, it depends on the event","Technology, Soft Skills (Communication, Leadership)","YouTube, Coursera","Based on interest, Random browsing","Video Lectures, Live Sessions",4,2,3,3,2,5,4,3,3,2,2,Hybrid,Occasionally,Yes,Academic,4,,
01/08/2025 20:29:24,3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Science","YouTube, Coursera, University LMS","Based on interest, Recommended by peers, Random browsing, Suggested by platform","Video Lectures, Notes/PDF",2,1,1,2,1,4,4,2,2,2,1,Physical,Occasionally,Yes,Sports,5,,
01/08/2025 20:31:04,4th Year,Applied Sciences,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"Yes, I’m open to trying new events","Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","LinkedIn Learning, University LMS","Based on interest, Suggested by platform",Notes/PDF,4,1,2,2,1,5,3,3,2,2,1,Physical,Occasionally,Yes,Academic,5,,
02/08/2025 21:33:24,2nd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events",Science,"YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",2,1,4,2,3,5,5,2,3,2,2,Hybrid,Occasionally,Yes,Academic,5,,
02/08/2025 21:34:43,1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Yes, I’m open to trying new events","Technology, Science",YouTube,Random browsing,Video Lectures,3,2,2,2,2,5,3,2,3,2,2,Physical,Occasionally,Yes,Social,3,,
02/08/2025 21:45:48,1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Science","LinkedIn Learning, University LMS",Based on interest,Interactive Quizzes,2,2,2,5,4,5,3,5,5,3,5,Hybrid,Rarely,Yes,,,,
02/08/2025 22:00:11,1st Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events",Science,YouTube,Required for exams,Interactive Quizzes,5,3,5,1,3,3,5,2,3,5,5,Physical,Occasionally,Yes,cultural events,4,,
02/08/2025 22:01:00,2nd Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Technology, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning",Required for exams,Live Sessions,3,3,2,5,2,5,5,5,5,5,5,Online,Monthly,No,,,,
02/08/2025 22:08:13,2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Business & Management, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning",Based on interest,"Interactive Quizzes, Discussion Forums",3,3,3,4,4,4,4,5,5,5,5,Hybrid,Monthly,No,,,,
03/08/2025 00:50:20,2nd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"No, I prefer familiar events","Science, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Required for exams","Interactive Quizzes, Live Sessions",1,3,3,4,3,4,4,4,5,5,5,Hybrid,Rarely,No,,,,
03/08/2025 00:53:10,3rd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Science, Business & Management",YouTube,"Recommended by peers, Required for exams","Discussion Forums, Live Sessions",5,3,3,4,3,5,5,5,3,5,5,Hybrid,Monthly,Yes,,,,
03/08/2025 00:55:08,2nd Year,Applied Sciences,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event",Science,"YouTube, University LMS",Based on interest,"Interactive Quizzes, Live Sessions",1,1,1,3,3,5,3,5,5,3,5,Hybrid,Monthly,Yes,,,,
03/08/2025 08:51:33,1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Science, Psychology","YouTube, KhanAcademy",Based on interest,"Video Lectures, Discussion Forums, Live Sessions",4,3,3,4,5,5,4,5,4,5,5,Physical,Monthly,No,,,,
03/08/2025 08:54:38,1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Technology, Science","YouTube, University LMS",Based on interest,"Video Lectures, Notes/PDF",4,5,4,4,5,5,4,4,5,4,4,Physical,Monthly,Yes,Cultural,4,,
03/08/2025 08:57:36,3rd Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event",Science,"YouTube, University LMS",Based on interest,Interactive Quizzes,3,3,3,4,4,5,5,5,3,5,5,Online,Monthly,Yes,,,,
03/08/2025 09:02:32,2nd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Psychology","YouTube, KhanAcademy",Based on interest,"Video Lectures, Notes/PDF",5,4,4,5,5,5,4,4,3,3,4,Online,Monthly,No,,,,
03/08/2025 09:37:54,2nd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Recommended by peers","Video Lectures, Notes/PDF",4,3,4,5,4,4,4,4,3,3,5,Hybrid,Monthly,Yes,Academic,4,,
03/08/2025 09:39:57,2nd Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Competitive Exams / Certifications","YouTube, University LMS",Based on interest,"Notes/PDF, Live Sessions",5,4,4,5,5,5,4,4,3,4,5,Hybrid,Monthly,No,,,,
03/08/2025 10:25:32,2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Soft Skills (Communication, Leadership)","YouTube, Coursera, University LMS","Based on interest, Recommended by peers, Required for exams","Video Lectures, Notes/PDF, Live Sessions",5,4,5,5,5,4,5,3,5,4,5,Hybrid,Monthly,No,,,,
03/08/2025 10:40:14,2nd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events",Science,YouTube,Random browsing,Notes/PDF,3,3,2,3,3,4,3,2,2,3,4,Physical,Occasionally,Yes,,,,
03/08/2025 11:38:16,3rd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event",Science,"YouTube, University LMS",Based on interest,"Notes/PDF, Live Sessions",1,1,3,5,4,4,5,5,4,5,4,Hybrid,Monthly,Yes,,,,
03/08/2025 11:41:50,3rd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Recommended by peers","Interactive Quizzes, Live Sessions",1,1,3,5,3,4,4,4,4,4,5,Online,Rarely,No,,,,
03/08/2025 12:28:38,2nd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event",Science,"YouTube, University LMS","Based on interest, Required for exams","Video Lectures, Notes/PDF",5,3,4,4,4,5,4,4,3,4,5,Hybrid,Monthly,No,,,,
03/08/2025 16:07:58,2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,Video Lectures,2,1,1,1,2,5,4,3,2,2,1,Physical,Occasionally,Yes,Academic,4,,
03/08/2025 16:33:59,2nd Year,Applied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, University LMS",Required for exams,"Interactive Quizzes, Live Sessions",4,4,4,5,2,4,5,5,3,5,5,Online,Rarely,No,,,,
03/08/2025 16:36:06,3rd Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","LinkedIn Learning, University LMS","Required for exams, Suggested by platform","Discussion Forums, Live Sessions",1,2,3,5,1,3,5,5,3,5,5,Hybrid,Occasionally,Yes,,,,
03/08/2025 16:38:21,1st Year,Applied Sciences,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"No, I prefer familiar events",Science,"YouTube, University LMS",Based on interest,"Video Lectures, Notes/PDF, Live Sessions",1,3,1,4,3,4,4,5,3,2,4,Online,Monthly,No,,,,
03/08/2025 16:47:09,3rd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events",Science,"YouTube, University LMS","Based on interest, Required for exams, Suggested by platform","Video Lectures, Interactive Quizzes",3,3,3,4,3,4,4,5,4,4,5,Online,Occasionally,Yes,,,,
03/08/2025 17:02:23,2nd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera","Based on interest, Recommended by peers, Required for exams","Video Lectures, Live Sessions",2,2,4,5,4,4,4,5,3,5,4,Online,Monthly,No,,,,
